Date,Year,Daily Mean PM2.5 Concentration,UNITS,SITE_LATITUDE,SITE_LONGITUDE
01/12/2009,2009,16.4,ug/m3 LC,40.816,-73.902
01/13/2009,2009,19.8,ug/m3 LC,40.816,-73.902
01/14/2009,2009,11.7,ug/m3 LC,40.816,-73.902
01/15/2009,2009,13.2,ug/m3 LC,40.816,-73.902
01/16/2009,2009,12.7,ug/m3 LC,40.816,-73.902
01/17/2009,2009,15.5,ug/m3 LC,40.816,-73.902
01/18/2009,2009,19.3,ug/m3 LC,40.816,-73.902
01/19/2009,2009,26.1,ug/m3 LC,40.816,-73.902
01/20/2009,2009,22.9,ug/m3 LC,40.816,-73.902
01/21/2009,2009,15.5,ug/m3 LC,40.816,-73.902
01/22/2009,2009,22.6,ug/m3 LC,40.816,-73.902
01/23/2009,2009,28.3,ug/m3 LC,40.816,-73.902
01/24/2009,2009,13.6,ug/m3 LC,40.816,-73.902
01/25/2009,2009,10.4,ug/m3 LC,40.816,-73.902
01/26/2009,2009,14.8,ug/m3 LC,40.816,-73.902
01/27/2009,2009,13.6,ug/m3 LC,40.816,-73.902
01/28/2009,2009,11.3,ug/m3 LC,40.816,-73.902
01/29/2009,2009,16,ug/m3 LC,40.816,-73.902
01/30/2009,2009,25.6,ug/m3 LC,40.816,-73.902
01/31/2009,2009,11.9,ug/m3 LC,40.816,-73.902
02/01/2009,2009,17.2,ug/m3 LC,40.816,-73.902
02/02/2009,2009,31.4,ug/m3 LC,40.816,-73.902
02/03/2009,2009,10,ug/m3 LC,40.816,-73.902
02/04/2009,2009,12.2,ug/m3 LC,40.816,-73.902
02/05/2009,2009,9,ug/m3 LC,40.816,-73.902
02/06/2009,2009,18,ug/m3 LC,40.816,-73.902
02/07/2009,2009,30.4,ug/m3 LC,40.816,-73.902
02/08/2009,2009,15.1,ug/m3 LC,40.816,-73.902
02/09/2009,2009,10.5,ug/m3 LC,40.816,-73.902
02/10/2009,2009,24,ug/m3 LC,40.816,-73.902
02/11/2009,2009,33.4,ug/m3 LC,40.816,-73.902
